City,Year,Month,Day,AvgTemperature
New York,2010,1,1,10.431178623306296
New York,2010,1,2,13.025524913790186
New York,2010,1,3,10.493907572287224
New York,2010,1,4,10.517185493562415
New York,2010,1,5,10.607334104127146
New York,2010,1,6,11.508061716429049
New York,2010,1,7,8.196576790743027
New York,2010,1,8,10.573174340409299
New York,2010,1,9,12.029472321493627
New York,2010,1,10,10.733135231508983
New York,2010,1,11,11.483752293338199
New York,2010,1,12,8.655634643046856
New York,2010,1,13,9.98269399111208
New York,2010,1,14,10.438799850048976
New York,2010,1,15,14.751686155624466
New York,2010,1,16,12.34922792440885
New York,2010,1,17,12.921040035155215
New York,2010,1,18,13.84711376285535
New York,2010,1,19,19.65922479431004
New York,2010,1,20,14.451528784134346
New York,2010,1,21,15.970099662620441
New York,2010,1,22,14.732037533523668
New York,2010,1,23,15.548238437417249
New York,2010,1,24,15.854440718341714
New York,2010,1,25,16.1115037236615
New York,2010,1,26,15.322636595906197
New York,2010,1,27,13.22176482576543
New York,2010,1,28,16.28306416932668
New York,2010,1,29,15.483873118085041
New York,2010,1,30,15.324845986244599
New York,2010,1,31,16.697988413655484
New York,2010,2,1,15.90101249561752
New York,2010,2,2,13.195250311869973
New York,2010,2,3,13.160873637179368
New York,2010,2,4,15.361872339199504
New York,2010,2,5,17.582047988482827
New York,2010,2,6,19.480022175644397
New York,2010,2,7,15.783263365919952
New York,2010,2,8,16.177075438883556
New York,2010,2,9,13.723920511139523
New York,2010,2,10,16.888231632956558
New York,2010,2,11,15.882150406431796
New York,2010,2,12,17.95662613783178
New York,2010,2,13,17.05264408432123
New York,2010,2,14,18.438030196758447
New York,2010,2,15,15.953566247337063
New York,2010,2,16,19.540470312652747
New York,2010,2,17,21.559274213756847
New York,2010,2,18,15.81249207724247
New York,2010,2,19,15.471204159884003
New York,2010,2,20,13.55631404533345
New York,2010,2,21,17.943284787361158
New York,2010,2,22,19.773422194938895
New York,2010,2,23,16.105939302716322
New York,2010,2,24,16.743861875130865
New York,2010,2,25,17.436847427288594
New York,2010,2,26,19.739934039538767
New York,2010,2,27,20.17020215980041
New York,2010,2,28,14.695856718505977
New York,2010,3,1,16.70194711994455
New York,2010,3,2,19.51989288561284
New York,2010,3,3,16.099878053689167
New York,2010,3,4,20.667749075519165
New York,2010,3,5,20.593909753769367
New York,2010,3,6,16.81962124068521
New York,2010,3,7,14.328362335096777
New York,2010,3,8,21.830248650101602
New York,2010,3,9,19.36194694718978
New York,2010,3,10,19.023827346616894
New York,2010,3,11,20.944973277984417
New York,2010,3,12,20.176323701026057
New York,2010,3,13,18.234382869008986
New York,2010,3,14,20.887114402398282
New York,2010,3,15,17.01929884373653
New York,2010,3,16,17.048610995327873
New York,2010,3,17,19.102506250149805
New York,2010,3,18,22.197602394219043
New York,2010,3,19,14.957970352628177
New York,2010,3,20,18.73972230173671
New York,2010,3,21,20.5169097657629
New York,2010,3,22,20.02365092251994
New York,2010,3,23,21.05626738791399
New York,2010,3,24,20.245362105154108
New York,2010,3,25,17.77972891483283
New York,2010,3,26,20.761502416039384
New York,2010,3,27,18.92228193451433
New York,2010,3,28,20.64092478976033
New York,2010,3,29,19.90997498211335
New York,2010,3,30,18.899194050071287
New York,2010,3,31,22.405138012713305
New York,2010,4,1,19.168608836306312
New York,2010,4,2,18.29607758114208
